date,where to buy bitcoin,isPartial,window_start,window_end
2015-05-09,100,False,2015-01-02,2015-06-30
2015-05-10,50,False,2015-01-02,2015-06-30
2015-05-11,0,False,2015-01-02,2015-06-30
2015-05-12,0,False,2015-01-02,2015-06-30
2015-05-13,0,False,2015-01-02,2015-06-30
2015-05-14,0,False,2015-01-02,2015-06-30
2015-05-15,0,False,2015-01-02,2015-06-30
2015-05-16,50,False,2015-01-02,2015-06-30
2015-05-17,0,False,2015-01-02,2015-06-30
2015-05-18,0,False,2015-01-02,2015-06-30
2015-05-19,82,False,2015-01-02,2015-06-30
2015-05-20,41,False,2015-01-02,2015-06-30
2015-05-21,0,False,2015-01-02,2015-06-30
2015-05-22,0,False,2015-01-02,2015-06-30
2015-05-23,0,False,2015-01-02,2015-06-30
2015-05-24,0,False,2015-01-02,2015-06-30
2015-05-25,0,False,2015-01-02,2015-06-30
2015-05-26,0,False,2015-01-02,2015-06-30
2015-05-27,0,False,2015-01-02,2015-06-30
2015-05-28,0,False,2015-01-02,2015-06-30
2015-05-29,0,False,2015-01-02,2015-06-30
2015-05-30,50,False,2015-01-02,2015-06-30
2015-05-31,49,False,2015-01-02,2015-06-30
2015-06-01,0,False,2015-01-02,2015-06-30
2015-06-02,0,False,2015-01-02,2015-06-30
2015-06-03,41,False,2015-01-02,2015-06-30
2015-06-04,43,False,2015-01-02,2015-06-30
2015-06-05,0,False,2015-01-02,2015-06-30
2015-06-06,50,False,2015-01-02,2015-06-30
2015-06-07,50,False,2015-01-02,2015-06-30
2015-06-08,0,False,2015-01-02,2015-06-30
2015-06-09,0,False,2015-01-02,2015-06-30
2015-06-10,0,False,2015-01-02,2015-06-30
2015-06-11,0,False,2015-01-02,2015-06-30
2015-06-12,0,False,2015-01-02,2015-06-30
2015-06-13,0,False,2015-01-02,2015-06-30
2015-06-14,0,False,2015-01-02,2015-06-30
2015-06-15,0,False,2015-01-02,2015-06-30
2015-06-16,0,False,2015-01-02,2015-06-30
2015-06-17,41,False,2015-01-02,2015-06-30
2015-06-18,42,False,2015-01-02,2015-06-30
2015-06-19,44,False,2015-01-02,2015-06-30
2015-06-20,0,False,2015-01-02,2015-06-30
2015-06-21,0,False,2015-01-02,2015-06-30
2015-06-22,0,False,2015-01-02,2015-06-30
2015-06-23,0,False,2015-01-02,2015-06-30
2015-06-24,0,False,2015-01-02,2015-06-30
2015-06-25,0,False,2015-01-02,2015-06-30
