date,bitcoin price,isPartial,window_start,window_end
2015-04-23,28,False,2015-01-02,2015-06-30
2015-04-24,25,False,2015-01-02,2015-06-30
2015-04-25,16,False,2015-01-02,2015-06-30
2015-04-26,40,False,2015-01-02,2015-06-30
2015-04-27,27,False,2015-01-02,2015-06-30
2015-04-28,17,False,2015-01-02,2015-06-30
2015-04-29,34,False,2015-01-02,2015-06-30
2015-04-30,32,False,2015-01-02,2015-06-30
2015-05-01,29,False,2015-01-02,2015-06-30
2015-05-02,18,False,2015-01-02,2015-06-30
2015-05-03,20,False,2015-01-02,2015-06-30
2015-05-04,33,False,2015-01-02,2015-06-30
2015-05-05,39,False,2015-01-02,2015-06-30
2015-05-06,34,False,2015-01-02,2015-06-30
2015-05-07,19,False,2015-01-02,2015-06-30
2015-05-08,32,False,2015-01-02,2015-06-30
2015-05-09,16,False,2015-01-02,2015-06-30
2015-05-10,19,False,2015-01-02,2015-06-30
2015-05-11,26,False,2015-01-02,2015-06-30
2015-05-12,19,False,2015-01-02,2015-06-30
2015-05-13,22,False,2015-01-02,2015-06-30
2015-05-14,19,False,2015-01-02,2015-06-30
2015-05-15,36,False,2015-01-02,2015-06-30
2015-05-16,21,False,2015-01-02,2015-06-30
2015-05-17,24,False,2015-01-02,2015-06-30
2015-05-18,22,False,2015-01-02,2015-06-30
2015-05-19,32,False,2015-01-02,2015-06-30
2015-05-20,35,False,2015-01-02,2015-06-30
2015-05-21,24,False,2015-01-02,2015-06-30
2015-05-22,27,False,2015-01-02,2015-06-30
2015-05-23,14,False,2015-01-02,2015-06-30
2015-05-24,19,False,2015-01-02,2015-06-30
2015-05-25,25,False,2015-01-02,2015-06-30
2015-05-26,12,False,2015-01-02,2015-06-30
2015-05-27,25,False,2015-01-02,2015-06-30
2015-05-28,20,False,2015-01-02,2015-06-30
2015-05-29,25,False,2015-01-02,2015-06-30
2015-05-30,14,False,2015-01-02,2015-06-30
2015-05-31,26,False,2015-01-02,2015-06-30
2015-06-01,30,False,2015-01-02,2015-06-30
2015-06-02,29,False,2015-01-02,2015-06-30
2015-06-03,34,False,2015-01-02,2015-06-30
2015-06-04,16,False,2015-01-02,2015-06-30
2015-06-05,42,False,2015-01-02,2015-06-30
2015-06-06,15,False,2015-01-02,2015-06-30
2015-06-07,27,False,2015-01-02,2015-06-30
2015-06-08,15,False,2015-01-02,2015-06-30
2015-06-09,20,False,2015-01-02,2015-06-30
2015-06-10,24,False,2015-01-02,2015-06-30
2015-06-11,24,False,2015-01-02,2015-06-30
2015-06-12,23,False,2015-01-02,2015-06-30
2015-06-13,33,False,2015-01-02,2015-06-30
2015-06-14,18,False,2015-01-02,2015-06-30
2015-06-15,30,False,2015-01-02,2015-06-30
2015-06-16,37,False,2015-01-02,2015-06-30
2015-06-17,29,False,2015-01-02,2015-06-30
2015-06-18,57,False,2015-01-02,2015-06-30
2015-06-19,29,False,2015-01-02,2015-06-30
2015-06-20,29,False,2015-01-02,2015-06-30
2015-06-21,29,False,2015-01-02,2015-06-30
2015-06-22,29,False,2015-01-02,2015-06-30
2015-06-23,15,False,2015-01-02,2015-06-30
2015-06-24,26,False,2015-01-02,2015-06-30
2015-06-25,19,False,2015-01-02,2015-06-30
2015-06-26,38,False,2015-01-02,2015-06-30
2015-06-27,18,False,2015-01-02,2015-06-30
2015-06-28,23,False,2015-01-02,2015-06-30
2015-06-29,43,False,2015-01-02,2015-06-30
2015-06-30,51,False,2015-01-02,2015-06-30
2015-01-03,39,False,2015-01-03,2015-07-01
2015-01-04,49,False,2015-01-03,2015-07-01
2015-01-05,51,False,2015-01-03,2015-07-01
2015-01-06,68,False,2015-01-03,2015-07-01
2015-01-07,26,False,2015-01-03,2015-07-01
2015-01-08,41,False,2015-01-03,2015-07-01
2015-01-09,36,False,2015-01-03,2015-07-01
2015-01-10,22,False,2015-01-03,2015-07-01
2015-01-11,26,False,2015-01-03,2015-07-01
2015-01-12,36,False,2015-01-03,2015-07-01
2015-01-13,55,False,2015-01-03,2015-07-01
2015-01-14,100,False,2015-01-03,2015-07-01
2015-01-15,97,False,2015-01-03,2015-07-01
2015-01-16,87,False,2015-01-03,2015-07-01
2015-01-17,38,False,2015-01-03,2015-07-01
2015-01-18,58,False,2015-01-03,2015-07-01
2015-01-19,30,False,2015-01-03,2015-07-01
2015-01-20,46,False,2015-01-03,2015-07-01
2015-01-21,46,False,2015-01-03,2015-07-01
2015-01-22,42,False,2015-01-03,2015-07-01
2015-01-23,44,False,2015-01-03,2015-07-01
2015-01-24,26,False,2015-01-03,2015-07-01
2015-01-25,40,False,2015-01-03,2015-07-01
2015-01-26,80,False,2015-01-03,2015-07-01
2015-01-27,41,False,2015-01-03,2015-07-01
2015-01-28,54,False,2015-01-03,2015-07-01
2015-01-29,53,False,2015-01-03,2015-07-01
2015-01-30,35,False,2015-01-03,2015-07-01
2015-01-31,24,False,2015-01-03,2015-07-01
2015-02-01,23,False,2015-01-03,2015-07-01
2015-02-02,20,False,2015-01-03,2015-07-01
2015-02-03,25,False,2015-01-03,2015-07-01
2015-02-04,42,False,2015-01-03,2015-07-01
2015-02-05,44,False,2015-01-03,2015-07-01
2015-02-06,34,False,2015-01-03,2015-07-01
2015-02-07,32,False,2015-01-03,2015-07-01
2015-02-08,28,False,2015-01-03,2015-07-01
2015-02-09,37,False,2015-01-03,2015-07-01
2015-02-10,34,False,2015-01-03,2015-07-01
2015-02-11,43,False,2015-01-03,2015-07-01
2015-02-12,35,False,2015-01-03,2015-07-01
2015-02-13,27,False,2015-01-03,2015-07-01
2015-02-14,22,False,2015-01-03,2015-07-01
2015-02-15,45,False,2015-01-03,2015-07-01
2015-02-16,36,False,2015-01-03,2015-07-01
2015-02-17,32,False,2015-01-03,2015-07-01
2015-02-18,43,False,2015-01-03,2015-07-01
2015-02-19,26,False,2015-01-03,2015-07-01
2015-02-20,44,False,2015-01-03,2015-07-01
2015-02-21,41,False,2015-01-03,2015-07-01
2015-02-22,26,False,2015-01-03,2015-07-01
2015-02-23,25,False,2015-01-03,2015-07-01
2015-02-24,23,False,2015-01-03,2015-07-01
2015-02-25,27,False,2015-01-03,2015-07-01
2015-02-26,26,False,2015-01-03,2015-07-01
2015-02-27,33,False,2015-01-03,2015-07-01
2015-02-28,24,False,2015-01-03,2015-07-01
2015-03-01,44,False,2015-01-03,2015-07-01
2015-03-02,47,False,2015-01-03,2015-07-01
2015-03-03,50,False,2015-01-03,2015-07-01
2015-03-04,32,False,2015-01-03,2015-07-01
2015-03-05,48,False,2015-01-03,2015-07-01
2015-03-06,34,False,2015-01-03,2015-07-01
2015-03-07,26,False,2015-01-03,2015-07-01
2015-03-08,20,False,2015-01-03,2015-07-01
2015-03-09,27,False,2015-01-03,2015-07-01
2015-03-10,46,False,2015-01-03,2015-07-01
2015-03-11,27,False,2015-01-03,2015-07-01
2015-03-12,56,False,2015-01-03,2015-07-01
2015-03-13,28,False,2015-01-03,2015-07-01
2015-03-14,34,False,2015-01-03,2015-07-01
2015-03-15,23,False,2015-01-03,2015-07-01
2015-03-16,34,False,2015-01-03,2015-07-01
2015-03-17,29,False,2015-01-03,2015-07-01
2015-03-18,29,False,2015-01-03,2015-07-01
2015-03-19,42,False,2015-01-03,2015-07-01
2015-03-20,33,False,2015-01-03,2015-07-01
2015-03-21,28,False,2015-01-03,2015-07-01
2015-03-22,27,False,2015-01-03,2015-07-01
2015-03-23,22,False,2015-01-03,2015-07-01
2015-03-24,50,False,2015-01-03,2015-07-01
2015-03-25,37,False,2015-01-03,2015-07-01
2015-03-26,31,False,2015-01-03,2015-07-01
2015-03-27,18,False,2015-01-03,2015-07-01
2015-03-28,32,False,2015-01-03,2015-07-01
2015-03-29,25,False,2015-01-03,2015-07-01
2015-03-30,38,False,2015-01-03,2015-07-01
2015-03-31,36,False,2015-01-03,2015-07-01
2015-04-01,39,False,2015-01-03,2015-07-01
2015-04-02,46,False,2015-01-03,2015-07-01
2015-04-03,33,False,2015-01-03,2015-07-01
2015-04-04,31,False,2015-01-03,2015-07-01
2015-04-05,31,False,2015-01-03,2015-07-01
2015-04-06,32,False,2015-01-03,2015-07-01
2015-04-07,25,False,2015-01-03,2015-07-01
2015-04-08,24,False,2015-01-03,2015-07-01
2015-04-09,41,False,2015-01-03,2015-07-01
2015-04-10,27,False,2015-01-03,2015-07-01
2015-04-11,22,False,2015-01-03,2015-07-01
2015-04-12,22,False,2015-01-03,2015-07-01
2015-04-13,24,False,2015-01-03,2015-07-01
2015-04-14,56,False,2015-01-03,2015-07-01
2015-04-15,34,False,2015-01-03,2015-07-01
2015-04-16,39,False,2015-01-03,2015-07-01
2015-04-17,28,False,2015-01-03,2015-07-01
2015-04-18,22,False,2015-01-03,2015-07-01
2015-04-19,22,False,2015-01-03,2015-07-01
2015-04-20,37,False,2015-01-03,2015-07-01
2015-04-21,20,False,2015-01-03,2015-07-01
2015-04-22,29,False,2015-01-03,2015-07-01
2015-04-23,22,False,2015-01-03,2015-07-01
2015-04-24,21,False,2015-01-03,2015-07-01
2015-04-25,22,False,2015-01-03,2015-07-01
2015-04-26,35,False,2015-01-03,2015-07-01
2015-04-27,25,False,2015-01-03,2015-07-01
2015-04-28,25,False,2015-01-03,2015-07-01
2015-04-29,30,False,2015-01-03,2015-07-01
2015-04-30,28,False,2015-01-03,2015-07-01
2015-05-01,32,False,2015-01-03,2015-07-01
2015-05-02,8,False,2015-01-03,2015-07-01
2015-05-03,14,False,2015-01-03,2015-07-01
2015-05-04,15,False,2015-01-03,2015-07-01
2015-05-05,34,False,2015-01-03,2015-07-01
2015-05-06,27,False,2015-01-03,2015-07-01
2015-05-07,24,False,2015-01-03,2015-07-01
2015-05-08,37,False,2015-01-03,2015-07-01
2015-05-09,20,False,2015-01-03,2015-07-01
2015-05-10,14,False,2015-01-03,2015-07-01
2015-05-11,22,False,2015-01-03,2015-07-01
2015-05-12,25,False,2015-01-03,2015-07-01
2015-05-13,19,False,2015-01-03,2015-07-01
2015-05-14,29,False,2015-01-03,2015-07-01
2015-05-15,39,False,2015-01-03,2015-07-01
2015-05-16,20,False,2015-01-03,2015-07-01
2015-05-17,33,False,2015-01-03,2015-07-01
2015-05-18,18,False,2015-01-03,2015-07-01
2015-05-19,20,False,2015-01-03,2015-07-01
2015-05-20,18,False,2015-01-03,2015-07-01
2015-05-21,20,False,2015-01-03,2015-07-01
2015-05-22,28,False,2015-01-03,2015-07-01
2015-05-23,20,False,2015-01-03,2015-07-01
2015-05-24,16,False,2015-01-03,2015-07-01
2015-05-25,22,False,2015-01-03,2015-07-01
2015-05-26,18,False,2015-01-03,2015-07-01
2015-05-27,28,False,2015-01-03,2015-07-01
2015-05-28,17,False,2015-01-03,2015-07-01
2015-05-29,24,False,2015-01-03,2015-07-01
2015-05-30,20,False,2015-01-03,2015-07-01
2015-05-31,12,False,2015-01-03,2015-07-01
2015-06-01,28,False,2015-01-03,2015-07-01
2015-06-02,15,False,2015-01-03,2015-07-01
2015-06-03,23,False,2015-01-03,2015-07-01
2015-06-04,25,False,2015-01-03,2015-07-01
