date,bitcoin crash,isPartial,window_start,window_end
2015-04-23,33,False,2015-01-02,2015-06-30
2015-04-24,0,False,2015-01-02,2015-06-30
2015-04-25,0,False,2015-01-02,2015-06-30
2015-04-26,37,False,2015-01-02,2015-06-30
2015-04-27,0,False,2015-01-02,2015-06-30
2015-04-28,0,False,2015-01-02,2015-06-30
2015-04-29,0,False,2015-01-02,2015-06-30
2015-04-30,0,False,2015-01-02,2015-06-30
2015-05-01,0,False,2015-01-02,2015-06-30
2015-05-02,0,False,2015-01-02,2015-06-30
2015-05-03,0,False,2015-01-02,2015-06-30
2015-05-04,0,False,2015-01-02,2015-06-30
2015-05-05,0,False,2015-01-02,2015-06-30
2015-05-06,0,False,2015-01-02,2015-06-30
2015-05-07,0,False,2015-01-02,2015-06-30
2015-05-08,0,False,2015-01-02,2015-06-30
2015-05-09,0,False,2015-01-02,2015-06-30
2015-05-10,0,False,2015-01-02,2015-06-30
2015-05-11,0,False,2015-01-02,2015-06-30
2015-05-12,0,False,2015-01-02,2015-06-30
2015-05-13,0,False,2015-01-02,2015-06-30
2015-05-14,0,False,2015-01-02,2015-06-30
2015-05-15,0,False,2015-01-02,2015-06-30
2015-05-16,0,False,2015-01-02,2015-06-30
2015-05-17,0,False,2015-01-02,2015-06-30
2015-05-18,0,False,2015-01-02,2015-06-30
2015-05-19,0,False,2015-01-02,2015-06-30
2015-05-20,0,False,2015-01-02,2015-06-30
2015-05-21,0,False,2015-01-02,2015-06-30
2015-05-22,0,False,2015-01-02,2015-06-30
2015-05-23,0,False,2015-01-02,2015-06-30
2015-05-24,0,False,2015-01-02,2015-06-30
2015-05-25,0,False,2015-01-02,2015-06-30
2015-05-26,0,False,2015-01-02,2015-06-30
2015-05-27,0,False,2015-01-02,2015-06-30
2015-05-28,0,False,2015-01-02,2015-06-30
2015-05-29,0,False,2015-01-02,2015-06-30
2015-05-30,0,False,2015-01-02,2015-06-30
2015-05-31,0,False,2015-01-02,2015-06-30
2015-06-01,0,False,2015-01-02,2015-06-30
2015-06-02,0,False,2015-01-02,2015-06-30
2015-06-03,0,False,2015-01-02,2015-06-30
2015-06-04,0,False,2015-01-02,2015-06-30
2015-06-05,0,False,2015-01-02,2015-06-30
2015-06-06,0,False,2015-01-02,2015-06-30
2015-06-07,38,False,2015-01-02,2015-06-30
2015-06-08,0,False,2015-01-02,2015-06-30
2015-06-09,0,False,2015-01-02,2015-06-30
2015-06-10,32,False,2015-01-02,2015-06-30
2015-06-11,0,False,2015-01-02,2015-06-30
2015-06-12,33,False,2015-01-02,2015-06-30
2015-06-13,38,False,2015-01-02,2015-06-30
2015-06-14,0,False,2015-01-02,2015-06-30
2015-06-15,0,False,2015-01-02,2015-06-30
2015-06-16,0,False,2015-01-02,2015-06-30
2015-06-17,0,False,2015-01-02,2015-06-30
2015-06-18,0,False,2015-01-02,2015-06-30
2015-06-19,0,False,2015-01-02,2015-06-30
2015-06-20,0,False,2015-01-02,2015-06-30
2015-06-21,0,False,2015-01-02,2015-06-30
2015-06-22,0,False,2015-01-02,2015-06-30
2015-06-23,0,False,2015-01-02,2015-06-30
2015-06-24,0,False,2015-01-02,2015-06-30
2015-06-25,0,False,2015-01-02,2015-06-30
2015-06-26,0,False,2015-01-02,2015-06-30
2015-06-27,0,False,2015-01-02,2015-06-30
2015-06-28,0,False,2015-01-02,2015-06-30
2015-06-29,0,False,2015-01-02,2015-06-30
2015-06-30,31,False,2015-01-02,2015-06-30
2015-01-03,0,False,2015-01-03,2015-07-01
2015-01-04,0,False,2015-01-03,2015-07-01
