date,sell bitcoin,isPartial,window_start,window_end
2015-04-24,29,False,2015-01-02,2015-06-30
2015-04-25,33,False,2015-01-02,2015-06-30
2015-04-26,33,False,2015-01-02,2015-06-30
2015-04-27,55,False,2015-01-02,2015-06-30
2015-04-28,28,False,2015-01-02,2015-06-30
2015-04-29,0,False,2015-01-02,2015-06-30
2015-04-30,0,False,2015-01-02,2015-06-30
2015-05-01,0,False,2015-01-02,2015-06-30
2015-05-02,100,False,2015-01-02,2015-06-30
2015-05-03,65,False,2015-01-02,2015-06-30
2015-05-04,0,False,2015-01-02,2015-06-30
2015-05-05,0,False,2015-01-02,2015-06-30
2015-05-06,0,False,2015-01-02,2015-06-30
2015-05-07,0,False,2015-01-02,2015-06-30
2015-05-08,0,False,2015-01-02,2015-06-30
2015-05-09,0,False,2015-01-02,2015-06-30
2015-05-10,0,False,2015-01-02,2015-06-30
2015-05-11,0,False,2015-01-02,2015-06-30
2015-05-12,27,False,2015-01-02,2015-06-30
2015-05-13,0,False,2015-01-02,2015-06-30
2015-05-14,0,False,2015-01-02,2015-06-30
2015-05-15,29,False,2015-01-02,2015-06-30
2015-05-16,0,False,2015-01-02,2015-06-30
2015-05-17,0,False,2015-01-02,2015-06-30
2015-05-18,0,False,2015-01-02,2015-06-30
2015-05-19,0,False,2015-01-02,2015-06-30
2015-05-20,0,False,2015-01-02,2015-06-30
2015-05-21,56,False,2015-01-02,2015-06-30
2015-05-22,0,False,2015-01-02,2015-06-30
2015-05-23,33,False,2015-01-02,2015-06-30
2015-05-24,0,False,2015-01-02,2015-06-30
2015-05-25,29,False,2015-01-02,2015-06-30
2015-05-26,0,False,2015-01-02,2015-06-30
2015-05-27,28,False,2015-01-02,2015-06-30
2015-05-28,0,False,2015-01-02,2015-06-30
2015-05-29,0,False,2015-01-02,2015-06-30
2015-05-30,0,False,2015-01-02,2015-06-30
2015-05-31,33,False,2015-01-02,2015-06-30
2015-06-01,0,False,2015-01-02,2015-06-30
2015-06-02,28,False,2015-01-02,2015-06-30
2015-06-03,0,False,2015-01-02,2015-06-30
2015-06-04,29,False,2015-01-02,2015-06-30
2015-06-05,30,False,2015-01-02,2015-06-30
2015-06-06,0,False,2015-01-02,2015-06-30
2015-06-07,33,False,2015-01-02,2015-06-30
2015-06-08,0,False,2015-01-02,2015-06-30
2015-06-09,0,False,2015-01-02,2015-06-30
2015-06-10,0,False,2015-01-02,2015-06-30
2015-06-11,28,False,2015-01-02,2015-06-30
2015-06-12,29,False,2015-01-02,2015-06-30
2015-06-13,33,False,2015-01-02,2015-06-30
2015-06-14,0,False,2015-01-02,2015-06-30
2015-06-15,0,False,2015-01-02,2015-06-30
2015-06-16,55,False,2015-01-02,2015-06-30
2015-06-17,56,False,2015-01-02,2015-06-30
2015-06-18,28,False,2015-01-02,2015-06-30
2015-06-19,0,False,2015-01-02,2015-06-30
2015-06-20,0,False,2015-01-02,2015-06-30
2015-06-21,33,False,2015-01-02,2015-06-30
2015-06-22,28,False,2015-01-02,2015-06-30
2015-06-23,0,False,2015-01-02,2015-06-30
2015-06-24,28,False,2015-01-02,2015-06-30
2015-06-25,28,False,2015-01-02,2015-06-30
2015-06-26,0,False,2015-01-02,2015-06-30
2015-06-27,67,False,2015-01-02,2015-06-30
2015-06-28,0,False,2015-01-02,2015-06-30
2015-06-29,28,False,2015-01-02,2015-06-30
2015-06-30,0,False,2015-01-02,2015-06-30
2015-01-03,39,False,2015-01-03,2015-07-01
2015-01-04,39,False,2015-01-03,2015-07-01
2015-01-05,68,False,2015-01-03,2015-07-01
2015-01-06,0,False,2015-01-03,2015-07-01
2015-01-07,0,False,2015-01-03,2015-07-01
2015-01-08,33,False,2015-01-03,2015-07-01
2015-01-09,0,False,2015-01-03,2015-07-01
2015-01-10,39,False,2015-01-03,2015-07-01
2015-01-11,38,False,2015-01-03,2015-07-01
