,time,low,high,open,close,volume
172,1536465600.0,6169.67,6195.48,6177.78,6175.64,306.26243947
173,1536469200.0,6171.94,6184.52,6175.64,6181.19,124.61403118
174,1536472800.0,6181.18,6193.28,6181.18,6188.23,83.68008148
175,1536476400.0,6172.01,6191.22,6188.22,6191.22,116.49553826
176,1536480000.0,6183.28,6196.0,6191.21,6192.78,118.04241088
177,1536483600.0,6192.63,6450.0,6192.78,6386.53,1038.14015318
178,1536487200.0,6361.0,6398.0,6386.53,6366.51,137.10304397
179,1536490800.0,6364.73,6379.28,6366.51,6378.0,77.45145688
180,1536494400.0,6376.71,6396.0,6378.0,6391.16,113.27566792
181,1536498000.0,6390.0,6431.79,6391.16,6395.31,340.72535435
182,1536501600.0,6380.0,6414.0,6395.3,6380.49,202.98314806
183,1536505200.0,6367.28,6384.01,6380.49,6374.06,168.64301451
184,1536508800.0,6368.0,6381.93,6373.62,6378.31,202.80849235
185,1536512400.0,6368.0,6381.01,6378.31,6374.09,138.11455337
186,1536516000.0,6374.01,6392.76,6377.48,6378.09,190.99786921
187,1536519600.0,6374.7,6389.75,6378.09,6383.02,123.58953919
188,1536523200.0,6381.11,6395.88,6383.02,6387.0,130.89310394
189,1536526800.0,6366.0,6390.0,6387.0,6366.01,192.876794
190,1536530400.0,6212.0,6367.7,6366.0,6251.66,981.46785302
191,1536534000.0,6230.67,6278.81,6251.66,6235.01,376.34134022
192,1536537600.0,6235.0,6262.9,6235.02,6253.01,380.8555693
193,1536541200.0,6253.0,6375.13,6253.01,6321.98,750.02766434
194,1536544800.0,6309.11,6333.61,6322.4,6314.74,210.21988254
195,1536548400.0,6290.78,6314.74,6314.74,6307.0,155.1483505
196,1536552000.0,6277.09,6307.01,6307.01,6277.12,120.57301617
197,1536555600.0,6277.11,6297.11,6277.12,6285.33,260.05768219
198,1536559200.0,6285.32,6310.0,6285.33,6310.0,189.51015463
199,1536562800.0,6302.14,6321.57,6310.0,6309.76,171.58017688
200,1536566400.0,6286.43,6321.5,6309.75,6287.5,182.36579902
201,1536570000.0,6238.86,6292.11,6287.49,6286.69,258.63436239
202,1536573600.0,6247.16,6299.21,6286.69,6287.88,125.07656072
