date,bitcoin crash,isPartial,window_start,window_end
2018-04-23,0,False,2018-01-02,2018-06-30
2018-04-24,1,False,2018-01-02,2018-06-30
2018-04-25,0,False,2018-01-02,2018-06-30
2018-04-26,3,False,2018-01-02,2018-06-30
2018-04-27,3,False,2018-01-02,2018-06-30
2018-04-28,1,False,2018-01-02,2018-06-30
2018-04-29,2,False,2018-01-02,2018-06-30
2018-04-30,0,False,2018-01-02,2018-06-30
2018-05-01,3,False,2018-01-02,2018-06-30
2018-05-02,4,False,2018-01-02,2018-06-30
2018-05-03,2,False,2018-01-02,2018-06-30
2018-05-04,0,False,2018-01-02,2018-06-30
2018-05-05,1,False,2018-01-02,2018-06-30
2018-05-06,0,False,2018-01-02,2018-06-30
2018-05-07,6,False,2018-01-02,2018-06-30
2018-05-08,1,False,2018-01-02,2018-06-30
2018-05-09,1,False,2018-01-02,2018-06-30
2018-05-10,2,False,2018-01-02,2018-06-30
2018-05-11,0,False,2018-01-02,2018-06-30
2018-05-12,5,False,2018-01-02,2018-06-30
2018-05-13,2,False,2018-01-02,2018-06-30
2018-05-14,0,False,2018-01-02,2018-06-30
2018-05-15,1,False,2018-01-02,2018-06-30
2018-05-16,2,False,2018-01-02,2018-06-30
2018-05-17,2,False,2018-01-02,2018-06-30
2018-05-18,2,False,2018-01-02,2018-06-30
2018-05-19,3,False,2018-01-02,2018-06-30
2018-05-20,0,False,2018-01-02,2018-06-30
2018-05-21,1,False,2018-01-02,2018-06-30
2018-05-22,1,False,2018-01-02,2018-06-30
2018-05-23,1,False,2018-01-02,2018-06-30
2018-05-24,4,False,2018-01-02,2018-06-30
2018-05-25,0,False,2018-01-02,2018-06-30
2018-05-26,1,False,2018-01-02,2018-06-30
2018-05-27,0,False,2018-01-02,2018-06-30
2018-05-28,2,False,2018-01-02,2018-06-30
2018-05-29,0,False,2018-01-02,2018-06-30
2018-05-30,1,False,2018-01-02,2018-06-30
2018-05-31,2,False,2018-01-02,2018-06-30
2018-06-01,1,False,2018-01-02,2018-06-30
2018-06-02,3,False,2018-01-02,2018-06-30
2018-06-03,1,False,2018-01-02,2018-06-30
2018-06-04,1,False,2018-01-02,2018-06-30
2018-06-05,1,False,2018-01-02,2018-06-30
2018-06-06,0,False,2018-01-02,2018-06-30
2018-06-07,2,False,2018-01-02,2018-06-30
2018-06-08,0,False,2018-01-02,2018-06-30
2018-06-09,0,False,2018-01-02,2018-06-30
2018-06-10,6,False,2018-01-02,2018-06-30
2018-06-11,6,False,2018-01-02,2018-06-30
2018-06-12,3,False,2018-01-02,2018-06-30
2018-06-13,7,False,2018-01-02,2018-06-30
2018-06-14,3,False,2018-01-02,2018-06-30
2018-06-15,2,False,2018-01-02,2018-06-30
2018-06-16,0,False,2018-01-02,2018-06-30
2018-06-17,2,False,2018-01-02,2018-06-30
2018-06-18,0,False,2018-01-02,2018-06-30
2018-06-19,0,False,2018-01-02,2018-06-30
2018-06-20,0,False,2018-01-02,2018-06-30
2018-06-21,1,False,2018-01-02,2018-06-30
2018-06-22,3,False,2018-01-02,2018-06-30
2018-06-23,4,False,2018-01-02,2018-06-30
2018-06-24,8,False,2018-01-02,2018-06-30
2018-06-25,2,False,2018-01-02,2018-06-30
2018-06-26,1,False,2018-01-02,2018-06-30
2018-06-27,1,False,2018-01-02,2018-06-30
2018-06-28,1,False,2018-01-02,2018-06-30
2018-06-29,3,False,2018-01-02,2018-06-30
2018-06-30,2,False,2018-01-02,2018-06-30
